objectnumber,totaluniquepageviews,culture,imagepermissionlevel,rank,dated,id,title,url
1995.1169.304,1,Korean,0,118182,,97141,Korean Sherd,https://www.harvardartmuseums.org/collections/object/97141
R12332,2,British,0,254281,19th century,244104,Lion,https://www.harvardartmuseums.org/collections/object/244104
M909,0,German,0,201744,19th century,258616,Madonna of the Family Ansidei,https://www.harvardartmuseums.org/collections/object/258616
4.2002.8648,1,American,0,27725,1946,133785,Untitled (woman seated on wicker end table in Ringling store house),https://www.harvardartmuseums.org/collections/object/133785
M13866,14,American,0,214460,1904,260622,La Porte Gayole,https://www.harvardartmuseums.org/collections/object/260622
BRLF.128.27,0,German,1,169080,1931,44031,[Brittany],https://www.harvardartmuseums.org/collections/object/44031
4.2002.9286,0,American,0,28363,1948-1950,133030,Untitled (elevated view of wedding gifts arranged on three tables),https://www.harvardartmuseums.org/collections/object/133030
BRGA.20.197,0,German,0,161105,"1926-1927, printed later",51915,"Bauhaus Building, Dessau, 1925-1926: View from southwest",https://www.harvardartmuseums.org/collections/object/51915
M2401,0,Italian,0,203171,15th century,251972,Illustration LVIII,https://www.harvardartmuseums.org/collections/object/251972
4.2002.429.22,1,American,0,19389,1948,92512,Untitled (throwing rice),https://www.harvardartmuseums.org/collections/object/92512
4.2002.8726,1,American,0,27803,1952,133439,"Untitled (kitchen, Marlowe Green Home)",https://www.harvardartmuseums.org/collections/object/133439
2.2002.5066,0,French?,0,8310,c. 1914-1918,329872,Untitled (a camp or station in the Somme),https://www.harvardartmuseums.org/collections/object/329872
BR49.680,18,German,0,151016,20th century,225535,Drapery sample; orange,https://www.harvardartmuseums.org/collections/object/225535
1932.18,42,Chinese,0,56374,702,209336,Female Donor (forgery),https://www.harvardartmuseums.org/collections/object/209336
4.2002.19128,0,American,0,38867,1948,123426,Untitled (group portrait of performers in costume),https://www.harvardartmuseums.org/collections/object/123426
BRGA.7.4,32,German,0,160653,1921-1922,169030,"Kallenbach Residence, Berlin, 1921-1922: Southeast elevation, 1:200",https://www.harvardartmuseums.org/collections/object/169030
BR73.57,75,German,1,160165,c. 1930,222385,Dance Orchestra,https://www.harvardartmuseums.org/collections/object/222385
